Sentence	RW	HW	KI	RWtoHW	RWtoKI
Over the years the Wilsons slowly encroach upon the Jacksons'property, moving the stone markers that divided their lots fartherand farther onto the Jacksons' land.	encroach	encroach	notpresent	upon the Jacksons'property , moving the stone markers that divided their lots fartherand farther onto the Jacksons ' land . 	Over the years the Wilsons slowly 	
Mary became Proficient at typing because she practiced every day forsix months.	Proficient	became	notpresent		Mary became 	
To find out what her husband bought for her birthday, Susanattempted to probe his family members about his recent shoppingexcursions.	probe	Susanattempted	notpresent	to 	To find out what her husband bought for her birthday , Susanattempted to 	
Juan's friends found him in a Jovial mood after he learned hewould be homecoming king.	Jovial	found	notpresent	him in a 	Juan 's friends found him in a 	
His suit of armor made the knight Invulnerable to his enemy's attack,and he was able to escape safely to his castle.	Invulnerable	made	notpresent	the knight 	His suit of armor made the knight 	
Choosing a small, fuel-efficient car is a Judicious purchase for arecent college graduate.	Judicious	purchase	notpresent		Choosing a small , fuel-efficient car is a 	
Such a Flagrant violation of school policy should be punished bynothing less than expulsion.	Flagrant	punished	notpresent	violation of school policy should be 	Such a 	
With all of the recent negative events in her life, she felt Malignant forces must be at work.	Malignant	felt	notpresent		With all of the recent negative events in her life , she felt 	
The Apocryphal rumors did a great deal of damage even though theyturned out to be false.	Apocryphal	did	though	rumors 	rumors did a great deal of damage even 	
When her schoolwork got to be too much, Pam had a tendency toprocrastinate, which always put her further behind.	procrastinate	had	notpresent	a tendency toprocrastinate , which always put her further behind . 	When her schoolwork got to be too much , Pam had a tendency toprocrastinate , which always put her further behind . 	
Racha's glance was a Tacit invitation to speak later in privateabout events of the meeting.	Tacit	invitation	notpresent		Racha 's glance was a 	
She reached the Apogee of her career with her fourth novel, whichwon the Pulitzer Prize.	Apogee	reached	notpresent	the 	She reached the 	
The Jubilant townspeople celebrated the soldier's return to hishome by adorning trees with yellow ribbons and balloons.	Jubilant	celebrated	notpresent	townspeople 	The 	
The governor-elect was hounded by a group of Fawning lobbyistsand others hoping to gain favor with her administration.	Fawning	hounded	notpresent	by a group of 	The governor-elect was hounded by a group of 	
The mock graduation ceremony-with a trained skunk posing asthe college president-was a complete Travesty that offended manycollege officials.	Travesty	ceremony-with	notpresent	a trained skunk posing asthe college president-was a complete 	The mock graduation ceremony-with a trained skunk posing asthe college president-was a complete 	
The busy, Mottled fabric of the clown's tie matched his oversizedjacket, which was equally atrocious.	Mottled	matched	notpresent	fabric of the clown 's tie 	The busy , 	
Kendrick's talent flourish under the tutelage of Anya Kowalonek,who as a young woman had been the most accomplished pianist inher native Lithuania.	flourish	flourish	notpresent	under the tutelage of Anya Kowalonek , who as a young woman had been the most accomplished pianist inher native Lithuania . 	Kendrick 's talent 	
The children were flummox by the seemingly nonsensical clues untilKinan pointed out that the messages were in code.	flummox	flummox	seemingly	by the seemingly nonsensical clues untilKinan pointed out that the messages were in code . 	by the 	
As the protagonist in Romeo and Juliet, Romeo is a hero able tocapture the audience's sympathy by continually professing his lovefor Juliet.	protagonist	is	notpresent	in Romeo and Juliet , Romeo 	As the 	
The chess master promised to wreak havoc upon his opponent'spawns for taking his bishop.	wreak	promised	notpresent	to 	The chess master promised to 	
I have always admired Seymour's Aplomb; I've never seen himrattled by anything.	Aplomb	admired	notpresent	Seymour 's 	I have always admired Seymour 's 	
The soldiers received a military Mandate to inspect all their vehiclesbefore traveling.	Mandate	received	notpresent	a military 	The soldiers received a military 	
